Frame_length_stored_into_the_capture_file_per_100msec,Length_per_100msec,L2CAP_count_per_100msec,HCI_ACL_count_per_100msec,HCI_EVT_count_per_100msec,Received_count_per_100msec,Sent_count_per_100msec,Command_Complete_count_per_100msec,Disconnect_complete_count_per_100msec,Class,,,
1792.41,1593.81,15.15,0.06,7.65,15.27,7.68,923.01,0,0,,,
1803.03,1603.2,15.24,0,7.74,15.36,7.71,932.01,0,0,,,
1877.19,1669.53,15.87,0,8.01,15.96,8.01,941.01,0,0,,,
1792.35,1593.81,15.15,0,7.68,15.24,7.68,950.01,0,0,,,
1799.43,1600.05,15.21,0.06,7.68,15.36,7.68,959.01,0,0,,,
1792.35,1593.81,15.15,0,7.68,15.24,7.68,967.98,0,0,,,
1884.27,1675.83,15.93,0,8.04,16.02,8.04,976.98,0,0,,,
1859.55,1653.72,15.72,0,7.95,15.81,7.95,985.98,0,0,,,
1809.96,1609.59,15.3,0,7.74,15.39,7.74,994.98,0,0,,,
1852.5,1647.45,15.66,0,7.92,15.75,7.92,1003.98,0,0,,,
1824.09,1622.16,15.42,0,7.8,15.51,7.8,1012.98,0,0,,,
1859.58,1653.75,15.72,0,7.95,15.81,7.95,1021.92,0,0,,,
1859.58,1653.75,15.72,0,7.95,15.81,7.95,1030.92,0,0,,,
1817.01,1615.86,15.36,0,7.77,15.45,7.77,1039.92,0,0,,,
1851.99,1647.42,15.66,0,7.86,15.69,7.92,1048.92,0,0,,,
1817.25,1615.86,15.36,0,7.8,15.48,7.77,1057.92,0,0,,,
1799.67,1600.11,15.21,0,7.74,15.33,7.71,1066.92,0,0,,,
1781.55,1584.3,15.06,0,7.62,15.15,7.62,1075.92,0,0,,,
1799.19,1600.11,15.21,0,7.68,15.3,7.68,1084.89,0,0,,,
1002.57,876.87,8.55,0.12,4.74,9.27,4.38,1093.89,1.41,0,,,
226.26,200.34,1.89,0,1.02,1.98,1.02,1106.31,3,0,,,
239.07,213.06,2.01,0,0.99,1.98,1.02,1107,3,0,,,
219.66,193.98,1.83,0.06,1.02,2.01,0.99,1111.02,3,0,,,
239.07,213.06,2.01,0,0.99,1.98,1.02,1116,3,0,,,
223.05,197.16,1.86,0,1.05,1.98,1.02,1116.93,3,0,,,
239.07,213.06,2.01,0,0.99,2.01,0.99,1125,3,0,,,
239.07,213.06,2.01,0,0.99,1.98,1.02,1125,3,0,,,
223.05,197.16,1.86,0,1.05,1.98,1.02,1131.75,3,0,,,
239.07,213.06,2.01,0,0.99,2.01,0.99,1134,3,0,,,
226.26,200.34,1.89,0,1.02,1.95,1.05,1136.85,3,0,,,
235.86,209.88,1.98,0,1.02,2.01,0.99,1143,3,0,,,
235.8,209.88,1.98,0,0.99,1.98,1.02,1143,3,0,,,
229.53,203.52,1.92,0,1.02,1.98,1.02,1151.67,3,0,,,
235.86,209.88,1.98,0,1.02,2.01,0.99,1152,3,0,,,
226.26,200.34,1.89,0,1.02,1.98,1.02,1157.07,3,0,,,
239.07,213.06,2.01,0,0.99,1.98,1.02,1161,3,0,,,
223.05,197.16,1.86,0,1.05,1.98,1.02,1163.37,3,0,,,
235.68,209.88,1.98,0.06,0.96,2.01,0.99,1170,3,0,,,
239.07,213.06,2.01,0,0.99,2.01,0.99,1170,3,0,,,
239.07,213.06,2.01,0,0.99,1.98,1.02,1170,3,0,,,
235.86,209.88,1.98,0,1.02,2.01,0.99,1170,3,0,,,
226.26,200.34,1.89,0,1.02,1.98,1.02,1176.69,3,0,,,
239.07,213.06,2.01,0,0.99,1.98,1.02,1179,3,0,,,
235.86,209.88,1.98,0,1.02,2.01,0.99,1179,3,0,,,
239.07,213.06,2.01,0,0.99,2.01,0.99,1179,3,0,,,
234.8,208.82,1.97,0,1,1.98,1.02,1179.62,3,0,,,
236.93,210.94,1.99,0,1.01,2,1,1182,3,0,,,
229.46,203.52,1.92,0,1.02,1.99,1.01,1183.24,3,0,,,
239.07,213.06,2.01,0,0.99,1.99,1.01,1188,3,0,,,
232.66,206.7,1.95,0,1.02,1.99,1.01,1189.42,3,0,,,
238,212,2,0,1,2.01,0.99,1191,3,0,,,
239.07,213.06,2.01,0,0.99,1.99,1.01,1191,3,0,,,
236.93,210.94,1.99,0,1.01,2,1,1191,3,0,,,
233.73,207.76,1.96,0,1.01,2,1,1193.27,3,0,,,
230.53,204.58,1.93,0,1.01,1.97,1.03,1196.84,3,0,,,
236.93,210.94,1.99,0,1.01,2,1,1200,3,0,,,
238,212,2,0,1,2.01,0.99,1200,3,0,,,
234.78,208.82,1.97,0,1,1.98,1.02,1200.09,3,0,,,
235.88,209.88,1.98,0,1.02,2.01,0.99,1202.96,3,0,,,
239.07,213.06,2.01,0,0.99,2,1,1203,3,0,,,
238,212,2,0,1,1.99,1.01,1203,3,0,,,
386.7,343.44,3.24,0,1.7,3.32,1.68,1207.54,3,0,,,
687,611.62,5.77,0,2.9,5.8,2.9,1211.8,3,0,,,
689.46,613.74,5.79,0,2.92,5.8,2.94,1214.8,3,0,,,
683.71,608.44,5.74,0,2.92,5.79,2.9,1217.81,3,0,,,
694.06,617.98,5.83,0,2.92,5.85,2.93,1220.8,3,0,,,
764.39,680.52,6.42,0,3.23,6.43,3.25,1223.8,3,0,,,
764.1,679.46,6.41,0,3.28,6.49,3.29,1226.98,3,0,,,
734.96,654.02,6.17,0,3.14,6.23,3.11,1235.72,3,0,,,
719.53,640.24,6.04,0.04,3.06,6.11,3.06,1238.8,3,0,,,
745.43,663.56,6.26,0,3.16,6.29,3.16,1241.8,3,0,,,
1050.07,934.92,8.82,0,4.44,8.85,4.44,1244.79,3,0,,,
1623.53,1444.78,13.63,0.01,6.91,13.74,6.9,1253.39,3,0,,,
1678.14,1493.54,14.09,0,7.13,14.17,7.14,1262.39,3,0,,,
1667.47,1484,14,0,7.09,14.09,7.09,1271.4,3,0,,,
1667.23,1484,14,0,7.06,14.07,7.08,1280.38,3,0,,,
1804.36,1605.9,15.15,0,7.67,15.24,7.67,1289.38,3,0,,,
1835.14,1633.46,15.41,0,7.78,15.48,7.8,1298.38,3,0,,,
1772.27,1577.28,14.88,0,7.54,14.99,7.52,1307.38,3,0,,,
1730.25,1539.12,14.52,0.1,7.4,14.76,7.35,1316.38,3,0,,,
1789.68,1593.18,15.03,0,7.56,15.07,7.61,1325.38,3,0,,,
1772.03,1577.28,14.88,0,7.51,14.95,7.53,1334.35,3,0,,,
1752.26,1559.26,14.71,0.02,7.47,14.84,7.45,1343.34,3,0,,,
1850.65,1647.24,15.54,0,7.85,15.63,7.85,1352.35,3,0,,,
1824.55,1623.92,15.32,0,7.75,15.41,7.75,1361.33,3,0,,,
1822.17,1621.8,15.3,0,7.74,15.39,7.74,1370.33,3,0,,,
1784.17,1587.88,14.98,0,7.59,15.07,7.59,1379.33,3,0,,,
1797.14,1599.54,15.09,0,7.63,15.18,7.63,1388.33,3,0,,,
1850.73,1647.24,15.54,0,7.86,15.63,7.86,1397.31,3,0,,,
1837.96,1635.58,15.43,0.04,7.82,15.58,7.8,1406.31,3,0,,,
1829.23,1628.16,15.36,0,7.76,15.43,7.78,1415.3,3,0,,,
1828.99,1628.16,15.36,0,7.73,15.41,7.77,1424.29,3,0,,,
1818.56,1618.62,15.27,0,7.72,15.36,7.72,1433.27,3,0,,,
1847.44,1644.06,15.51,0,7.88,15.64,7.84,1442.29,3,0,,,
1792.46,1595.3,15.05,0,7.62,15.14,7.62,1451.28,3,0,,,
1865.09,1659.96,15.66,0,7.93,15.76,7.92,1460.28,3,0,,,
1817.33,1617.56,15.26,0,7.71,15.34,7.72,1469.28,3,0,,,
1775.64,1580.46,14.91,0,7.53,14.98,7.55,1478.28,3,0,,,
1843.75,1640.88,15.48,0,7.85,15.59,7.83,1487.24,3,0,,,
1837.6,1635.58,15.43,0,7.8,15.52,7.8,1496.22,3,0,,,
1816.18,1616.5,15.25,0,7.71,15.34,7.71,1505.22,3,0,,,
1772.19,1577.28,14.88,0,7.53,14.97,7.53,1514.23,3,0,,,
1791.31,1594.24,15.04,0,7.62,15.13,7.62,1523.22,3,0,,,
1843.51,1640.88,15.48,0,7.82,15.57,7.82,1532.22,3,0,,,
1815.11,1615.44,15.24,0,7.72,15.33,7.72,1541.16,3,0,,,
1846.13,1643,15.5,0,7.86,15.61,7.84,1550.19,3,0,,,
1874.37,1668.44,15.74,0,7.94,15.81,7.96,1559.19,3,0,,,
1852.71,1649.36,15.56,0,7.82,15.61,7.86,1568.2,3,0,,,
1853.43,1649.36,15.56,0,7.91,15.69,7.87,1577.19,3,0,,,
1829.39,1628.16,15.36,0,7.78,15.45,7.78,1586.16,3,0,,,
1836.37,1634.52,15.42,0,7.79,15.51,7.79,1595.19,3,0,,,
1834.07,1632.4,15.4,0,7.79,15.49,7.79,1604.17,3,0,,,
1855.49,1651.48,15.58,0,7.88,15.67,7.88,1613.15,3,0,,,
1845.97,1643,15.5,0,7.84,15.59,7.84,1622.15,3,0,,,
1853.11,1649.36,15.56,0,7.87,15.65,7.87,1631.07,3,0,,,
1850.73,1647.24,15.54,0,7.86,15.63,7.86,1640.12,3,0,,,
1853.11,1649.36,15.56,0,7.87,15.65,7.87,1649.12,3,0,,,
1843.59,1640.88,15.48,0,7.83,15.57,7.83,1658.14,3,0,,,
1857.87,1653.6,15.6,0,7.89,15.69,7.89,1667.12,3,0,,,
1856.8,1652.54,15.59,0,7.9,15.69,7.89,1676.13,3,0,,,
1837.52,1635.58,15.43,0,7.79,15.51,7.8,1685.11,3,0,,,
1842.44,1639.82,15.47,0,7.83,15.56,7.83,1694.11,3,0,,,
1863.78,1658.9,15.65,0,7.91,15.74,7.91,1703.11,3,0,,,
1880.44,1673.74,15.79,0,7.98,15.87,7.99,1712.11,3,0,,,
1882.82,1675.86,15.81,0,7.99,15.9,7.99,1721.11,3,0,,,
1835.3,1633.46,15.41,0,7.8,15.5,7.8,1730.08,3,0,,,
1844.74,1641.94,15.49,0,7.83,15.58,7.83,1739.09,3,0,,,
1827.01,1626.04,15.34,0,7.77,15.44,7.76,1748.08,3,0,,,
1802.6,1604.4,15.13,0,7.66,15.22,7.66,1757.08,3,0,,,
1826.68,1625.72,15.33,0,7.78,15.44,7.76,1766.06,3,0,,,
1839.33,1637.38,15.44,0,7.78,15.51,7.8,1775.05,3,0,,,
1837.18,1635.25,15.42,0,7.8,15.5,7.81,1784.06,3,0,,,
1851.46,1647.97,15.54,0,7.86,15.64,7.85,1793.05,3,0,,,
1844.48,1641.85,15.48,0,7.82,15.55,7.84,1802.06,3,0,,,
1880.53,1674,15.78,0,7.97,15.87,7.97,1811.04,3,0,,,
1830.62,1629.39,15.36,0,7.78,15.45,7.78,1820.02,3,0,,,
1873.39,1667.64,15.72,0,7.94,15.81,7.94,1829.04,3,0,,,
1871.61,1665.88,15.7,0,7.96,15.81,7.94,1838.02,3,0,,,
1860.93,1656.58,15.6,0,7.9,15.69,7.9,1847.02,3,0,,,
1861.01,1656.82,15.6,0,7.88,15.69,7.88,1856.01,3,0,,,
1875.38,1669.55,15.72,0,7.95,15.81,7.95,1864.99,3,0,,,
1820.42,1620.73,15.26,0,7.7,15.33,7.72,1874.02,3,0,,,
1825.73,1625.28,15.3,0,7.75,15.4,7.74,1882.99,3,0,,,
1816.68,1617.27,15.22,0,7.71,15.32,7.7,1892.01,3,0,,,
1879.24,1673.15,15.74,0,7.96,15.83,7.96,1900.97,3,0,,,
1805.31,1607.28,15.12,0,7.65,15.21,7.65,1909.97,3,0,,,
1831.63,1630.74,15.34,0,7.76,15.43,7.76,1918.96,3,0,,,
1807.58,1609.3,15.13,0,7.67,15.23,7.66,1927.96,3,0,,,
1802.7,1605.18,15.09,0,7.62,15.17,7.63,1936.96,3,0,,,
1851.75,1648.78,15.5,0,7.84,15.59,7.84,1945.93,3,0,,,
1842.16,1640.23,15.42,0,7.8,15.51,7.8,1954.93,3,0,,,
1801.7,1604.19,15.08,0,7.63,15.17,7.63,1963.95,3,0,,,
1823.62,1623.93,15.26,0,7.7,15.33,7.72,1972.93,3,0,,,
1808.41,1610.11,15.13,0.02,7.66,15.24,7.66,1981.94,3,0,,,
1858.31,1654.81,15.55,0,7.85,15.63,7.86,1990.93,3,0,,,
1878.73,1672.9,15.72,0,7.95,15.81,7.95,1999.93,3,0,,,
1792.95,1596.48,15,0,7.59,15.09,7.59,2008.91,3,0,,,
1755.29,1562.74,14.68,0,7.46,14.79,7.44,2017.9,3,0,,,
1752.45,1560.64,14.66,0,7.39,14.73,7.41,2026.9,3,0,,,
1844.79,1642.61,15.43,0,7.82,15.53,7.81,2035.88,3,0,,,
1786.11,1590.42,14.94,0,7.56,15.03,7.56,2044.88,3,0,,,
1804.16,1606.4,15.09,0,7.65,15.2,7.63,2053.87,3,0,,,
1829.11,1628.74,15.3,0,7.74,15.39,7.74,2062.87,3,0,,,
1819.52,1620.23,15.22,0.04,7.67,15.31,7.71,2071.89,3,0,,,
1826.52,1626.65,15.28,0,7.7,15.35,7.72,2080.87,3,0,,,
1868.58,1663.88,15.63,0,7.91,15.72,7.91,2089.87,3,0,,,
1856.55,1653.23,15.53,0,7.85,15.62,7.85,2098.87,3,0,,,
1838.69,1637.28,15.38,0,7.78,15.47,7.78,2107.84,3,0,,,
1855.39,1652.16,15.52,0,7.85,15.61,7.85,2116.84,3,0,,,
1454.01,1289.3,12.18,0.01,6.36,12.5,6.22,2126.61,3.73,0,,,
1329.09,1183.72,11.11,0,5.61,11.17,5.61,2135.24,4,0,,,
1278.07,1137.96,10.68,0.01,5.43,10.79,5.39,2141.22,4,0,,,
1276.98,1136.84,10.67,0,5.42,10.75,5.43,2149.52,4,0,,,
1285.02,1144.34,10.74,0,5.44,10.81,5.43,2156.22,4,0,,,
1248.32,1111.3,10.43,0,5.3,10.52,5.3,2163.5,4,0,,,
1312.47,1168.84,10.97,0,5.55,11.02,5.56,2171.22,4,0,,,
1302.09,1159.18,10.88,0,5.53,10.98,5.52,2177.58,4,0,,,
1300.45,1158.2,10.87,0,5.49,10.93,5.49,2186.2,4,0,,,
1305.21,1162.44,10.91,0,5.51,10.96,5.52,2192.2,4,0,,,
446.06,386.56,3.76,0.02,2.26,4.26,2.02,2199.79,5.46,0,,,
240.92,214.92,1.99,0,1,2.01,0.99,2207.94,6,0,,,
240.85,214.92,1.99,0.02,0.99,2,1,2208,6,0,,,
234.39,208.44,1.93,0,1.01,1.97,1.03,2212.6,6,0,,,
239.82,213.84,1.98,0,1.02,2.01,0.99,2214,6,0,,,
230.04,204.12,1.89,0,1.02,1.97,1.03,2217.91,6,0,,,
242,216,2,0,1,1.99,1.01,2223,6,0,,,
232.21,206.28,1.91,0,1.03,1.99,1.01,2223.72,6,0,,,
243.09,217.08,2.01,0,0.99,2,1,2229,6,0,,,
237.65,211.68,1.96,0,1.01,1.98,1.02,2231.57,6,0,,,
236.55,210.6,1.95,0,1.01,1.99,1.01,2232.1,6,0,,,
238.75,212.76,1.97,0,1.01,2,1,2237.88,6,0,,,
339.89,303.48,2.81,0,1.39,2.79,1.41,2238,6,0,,,
766.46,683.64,6.33,0,3.2,6.37,3.19,2240.34,6,0,,,
785.58,700.92,6.49,0,3.25,6.49,3.28,2243.35,6,0,,,
769.12,685.8,6.35,0,3.24,6.41,3.21,2246.34,6,0,,,
763.9,681.48,6.31,0.02,3.16,6.35,3.17,2249.33,6,0,,,
761.27,678.24,6.28,0,3.22,6.35,3.24,2255.03,6,0,,,
762.95,680.4,6.3,0,3.2,6.35,3.18,2261.34,6,0,,,
801.43,714.96,6.62,0,3.33,6.65,3.33,2264.32,6,0,,,
794.17,708.48,6.56,0,3.3,6.57,3.32,2267.32,6,0,,,
781.14,696.6,6.45,0,3.28,6.5,3.26,2270.33,6,0,,,
800.18,713.88,6.61,0,3.32,6.64,3.32,2273.32,6,0,,,
785.74,700.92,6.49,0,3.27,6.5,3.29,2276.32,6,0,,,
786.88,700.92,6.49,0,3.35,6.6,3.33,2284.46,6,0,,,
785.74,700.92,6.49,0,3.27,6.52,3.27,2288.32,6,0,,,
784.49,699.84,6.48,0,3.26,6.49,3.28,2291.3,6,0,,,
970.93,866.16,8.02,0.02,4.03,8.07,4.03,2294.3,6,0,,,
1800.94,1605.96,14.87,0,7.55,14.98,7.53,2301.98,6,0,,,
1866.97,1665.36,15.42,0,7.76,15.48,7.79,2311,6,0,,,
1832.66,1634.04,15.13,0.02,7.7,15.27,7.67,2319.98,6,0,,,
1810.42,1614.6,14.95,0.04,7.54,15.07,7.55,2328.96,6,0,,,
1845.35,1645.92,15.24,0,7.69,15.31,7.71,2337.95,6,0,,,
1840.95,1641.6,15.2,0.04,7.7,15.34,7.69,2346.97,6,0,,,
1903.51,1697.76,15.72,0,7.94,15.8,7.95,2355.93,6,0,,,
1896.33,1691.28,15.66,0,7.92,15.75,7.92,2364.94,6,0,,,
1855.35,1654.56,15.32,0,7.77,15.42,7.76,2373.95,6,0,,,
1910.77,1704.24,15.78,0,7.97,15.87,7.97,2382.94,6,0,,,
1875.88,1672.92,15.49,0,7.85,15.58,7.85,2391.93,6,0,,,
1897.42,1692.36,15.67,0,7.91,15.76,7.91,2400.93,6,0,,,
1864.87,1663.2,15.4,0,7.79,15.48,7.8,2409.93,6,0,,,
1872.13,1669.68,15.46,0,7.82,15.55,7.82,2418.89,6,0,,,
1874.83,1671.84,15.48,0.04,7.84,15.62,7.83,2427.88,6,0,,,
1798.36,1603.8,14.85,0,7.52,14.95,7.51,2436.89,6,0,,,
1863.38,1662.12,15.39,0,7.75,15.45,7.78,2445.88,6,0,,,
1834.03,1635.12,15.14,0.06,7.7,15.32,7.67,2454.86,6,0,,,
1846.68,1647,15.25,0,7.71,15.34,7.71,2463.87,6,0,,,
1870.64,1668.6,15.45,0,7.78,15.51,7.81,2472.85,6,0,,,
1875.11,1671.84,15.48,0.08,7.85,15.67,7.83,2481.85,6,0,,,
1871.97,1669.68,15.46,0,7.8,15.53,7.82,2490.85,6,0,,,
1893.91,1689.12,15.64,0,7.91,15.73,7.91,2499.87,6,0,,,
1852.93,1652.4,15.3,0,7.76,15.41,7.74,2508.84,6,0,,,
1877.59,1674.62,15.5,0,7.84,15.59,7.84,2517.85,6,0,,,
1868.21,1666.2,15.42,0,7.81,15.51,7.81,2526.84,6,0,,,
1880.17,1677.02,15.52,0,7.84,15.61,7.84,2535.84,6,0,,,
1860.73,1659.74,15.36,0,7.75,15.43,7.77,2544.83,6,0,,,
1892.29,1687.84,15.62,0,7.89,15.7,7.9,2553.81,6,0,,,
1909.51,1702.92,15.76,0,8,15.88,7.97,2562.82,6,0,,,
1863.57,1661.92,15.38,0,7.81,15.49,7.79,2571.83,6,0,,,
1846.01,1646.74,15.24,0,7.67,15.3,7.7,2580.82,6,0,,,
1829.96,1631.65,15.1,0.06,7.67,15.28,7.64,2589.76,6,0,,,
1865.46,1664.03,15.4,0,7.76,15.45,7.8,2598.77,6,0,,,
1819.79,1622.98,15.02,0,7.61,15.13,7.59,2607.78,6,0,,,
1795.49,1601.36,14.82,0,7.5,14.91,7.5,2616.78,6,0,,,
1851.19,1651.08,15.28,0,7.73,15.37,7.73,2625.78,6,0,,,
1892.35,1687.82,15.62,0,7.9,15.71,7.9,2634.78,6,0,,,
1889.95,1685.68,15.6,0,7.89,15.69,7.89,2643.75,6,0,,,
1848.86,1649.1,15.25,0,7.72,15.34,7.72,2652.74,6,0,,,
